Color Name,Hex Code,Serial,Name Code,R,G,B,H,S,V
copper,#b66325,84,116932786,182,99,37,25.66,79.67,71.37254902
faded orange,#f0944d,85,217445087240567000,240,148,77,26.13,67.92,94.11764706
burnt siena,#b75203,86,3010966374880700,183,82,3,26.33,98.36,71.76470588
cinnamon,#ac4f06,87,113227380206,172,79,6,26.39,96.51,67.45098039
mushroom,#ba9e88,88,469871705581,186,158,136,26.40,26.88,72.94117647
chocolate,#3d1c02,89,3589635704453,61,28,2,26.44,96.72,23.92156863
clay brown,#b2713d,90,118809468419822,178,113,61,26.67,65.73,69.80392157
orange,#f97306,91,522238181,249,115,6,26.91,97.59,97.64705882
apricot,#ffb16d,92,1629785588,255,177,109,27.95,57.25,100
sepia,#985e2b,93,20103457,152,94,43,28.07,71.71,59.60784314
dull orange,#d8863b,94,5256110632122590,216,134,59,28.66,72.69,84.70588235
pale orange,#ffa756,95,18062981554288900,255,167,86,28.76,66.27,100
pumpkin orange,#fb7d07,96,614993948152674000000,251,125,7,29.02,97.21,98.43137255
mocha,#9d7651,97,14126337,157,118,81,29.21,48.41,61.56862745
milk chocolate,#7f4e1e,98,490437429041911000000,127,78,30,29.69,76.38,49.80392157
light peach,#ffd8b1,99,13835452188624000,255,216,177,30.00,30.59,100
brownish orange,#cb7723,100,3043404613445280000000,203,119,35,30.00,82.76,79.60784314
warm brown,#964e02,101,810973512941294,150,78,2,30.81,98.67,58.82352941
dark brown,#341c02,102,142468295769838,52,28,2,31.20,96.15,20.39215686
pale brown,#b1916e,103,564468159954670,177,145,110,31.34,37.85,69.41176471
browny orange,#ca6b02,104,2972075379606470000,202,107,2,31.50,99.01,79.21568627
orangish brown,#b25f03,105,574206957538568000000,178,95,3,31.54,98.31,69.80392157
tan brown,#ab7e4c,106,22040634015470,171,126,76,31.58,55.56,67.05882353
orange brown,#be6400,107,560748978038718000,190,100,0,31.58,100.00,74.50980392
pumpkin,#e17701,108,17898679598,225,119,1,31.61,99.56,88.23529412
light brown,#ad8150,109,13835452174384900,173,129,80,31.61,53.76,67.84313725
puce,#a57e52,110,545893,165,126,82,31.81,50.30,64.70588235
dark taupe,#7f684e,111,142468314093061,127,104,78,31.84,38.58,49.80392157
leather,#ac7434,112,13054386354,172,116,52,32.00,69.77,67.45098039
orangey brown,#b16002,113,17943967292793100000,177,96,2,32.23,98.87,69.41176471
raw umber,#a75e09,114,19851294181554,167,94,9,32.28,94.61,65.49019608
light orange,#fdaa48,115,442734470016056000,253,170,72,32.49,71.54,99.21568627
brown,#653700,116,2703086,101,55,0,32.67,100.00,39.60784314
